column,bin_start,bin_end,mz_start,mz_end,mean_abs,mean_signed,rows_used,nonzero_rows,value_correlation
5256,5256,5256,17768.0,17771.0,0.013898570961349768,-2.0770604094411487e-05,426,426,0.7243693411127252
3342,3342,3342,12026.0,12029.0,0.01379253686260399,0.0006824736627590635,426,426,0.7291334231555445
934,934,934,4802.0,4805.0,0.013761457367481142,-0.00033463084212594595,426,426,0.7930290324395748
975,975,975,4925.0,4928.0,0.013748370013589204,0.0010125977952039854,426,426,-0.7752902885343305
2074,2074,2074,8222.0,8225.0,0.013731437422839967,0.00030027619881681656,426,426,-0.7708663852300457
1008,1008,1008,5024.0,5027.0,0.01339838622958926,-0.0005185558196817764,426,426,-0.644906324729969
2613,2613,2613,9839.0,9842.0,0.013385882372973121,-0.0012647887750171602,426,426,-0.6330422263571788
3237,3237,3237,11711.0,11714.0,0.013245247966422997,-0.0002995474506488053,426,426,-0.6785418656021714
3238,3238,3238,11714.0,11717.0,0.013235401686301506,-0.0007693785157449423,426,426,-0.8414255190322469
1627,1627,1627,6881.0,6884.0,0.013177546255790101,-0.00024247932781592207,426,426,0.8196968891458685
1233,1233,1233,5699.0,5702.0,0.0131665659427456,-0.0009213402900703573,426,426,0.7080020268965123
4935,4935,4935,16805.0,16808.0,0.013148282165008837,-0.0010026580676074932,426,426,0.7101860166824118
2585,2585,2585,9755.0,9758.0,0.013095174906534767,-0.003915774571698867,426,426,-0.7389874273420672
177,177,177,2531.0,2534.0,0.013068670828647757,-0.0005616483759349696,426,426,0.6928185894537913
250,250,250,2750.0,2753.0,0.013013043489588774,0.0017152678439417868,426,426,-0.5646440261627625
5595,5595,5595,18785.0,18788.0,0.012908720689355646,0.0013734026413535058,426,426,-0.7838045305297338
2911,2911,2911,10733.0,10736.0,0.012882558119893476,0.000281480839274852,426,426,-0.6317062257828553
5215,5215,5215,17645.0,17648.0,0.012843818248700395,-0.0014091045245822353,426,426,0.36582606543380614
4045,4045,4045,14135.0,14138.0,0.012771494509312139,-0.0007764352675406924,426,426,0.6766516229927898
2788,2788,2788,10364.0,10367.0,0.012765896089872232,0.0004187263558641222,426,426,0.6120412348730765
1959,1959,1959,7877.0,7880.0,0.012690191115442707,0.0004848383511938283,426,426,0.5158128714427355
3970,3970,3970,13910.0,13913.0,0.012677835344410686,0.0012006246105870477,426,426,-0.4127233858543887
954,954,954,4862.0,4865.0,0.012664162222719268,-0.0012699751602288176,426,426,-0.6702259458389682
1626,1626,1626,6878.0,6881.0,0.012661792882059729,0.0006969192377008453,426,426,0.5004511155651362
601,601,601,3803.0,3806.0,0.012620921470916095,7.50948410535651e-05,426,426,0.2343175349105239
2117,2117,2117,8351.0,8354.0,0.012619625501870962,0.0007655201280017861,426,426,0.6789057678413375
1293,1293,1293,5879.0,5882.0,0.012614450231929761,0.0011074633002954453,426,426,0.7074129249945187
3505,3505,3505,12515.0,12518.0,0.012587255478792282,-0.00017504057173962353,426,426,-0.6109884700978154
1592,1592,1592,6776.0,6779.0,0.012575594928487482,6.314032542429169e-05,426,426,0.7865427473228959
1971,1971,1971,7913.0,7916.0,0.012557174921628113,0.0009627135027425769,426,426,0.8416230070878501
389,389,389,3167.0,3170.0,0.012309546526147222,0.0001030530435804347,426,426,-0.7704874570470072
3010,3010,3010,11030.0,11033.0,0.012283170615897086,-0.002005238999802262,426,426,0.6843426125652919
1883,1883,1883,7649.0,7652.0,0.011969412122955589,0.0004010243354742724,426,426,0.8428098387819686
961,961,961,4883.0,4886.0,0.011965238328075894,0.002555698122130883,426,426,0.8323798545191342
995,995,995,4985.0,4988.0,0.011939356397437585,0.0012434844191252506,426,426,0.34999003471087264
236,236,236,2708.0,2711.0,0.011924256908247948,-0.001120421169823857,426,426,-0.5050747299612526
3036,3036,3036,11108.0,11111.0,0.011897855155601319,0.0012727203898017566,426,426,-0.6164805405595523
2915,2915,2915,10745.0,10748.0,0.011856232438666578,0.0032530966468195047,426,426,-0.7992058037715202
467,467,467,3401.0,3404.0,0.01185563187818246,-0.0006274472333507872,426,426,-0.6841407170118105
1420,1420,1420,6260.0,6263.0,0.011785029103129669,0.0001508821261145086,426,426,0.4044024231022514
2583,2583,2583,9749.0,9752.0,0.011717518942725439,0.002390537102547536,426,426,0.7580544404323725
2214,2214,2214,8642.0,8645.0,0.011705736826088707,-0.0003933936337390616,426,426,-0.7903528402818065
4918,4918,4918,16754.0,16757.0,0.01165501490818776,0.0012969818593070036,426,426,-0.3014212803672294
2599,2599,2599,9797.0,9800.0,0.011469797223147317,-0.0007871347282749359,426,426,-0.6354728564249528
2108,2108,2108,8324.0,8327.0,0.011456215274528347,0.00014544299551801608,426,426,-0.5234447969764511
1628,1628,1628,6884.0,6887.0,0.011388236256451705,9.53563019496576e-05,426,426,0.6978084785592433
340,340,340,3020.0,3023.0,0.011358734428760764,-0.0002160472921598847,426,426,0.6636133095584112
2268,2268,2268,8804.0,8807.0,0.011275079444351282,0.00022165638273800387,426,426,-0.6188898094449047
1582,1582,1582,6746.0,6749.0,0.011268932296738756,0.00036557203177978566,426,426,0.5569397096173958
1346,1346,1346,6038.0,6041.0,0.011236867762172276,0.0004213280915853938,426,426,-0.8252198630548964
1621,1621,1621,6863.0,6866.0,0.011230841405834384,-0.0002881113982422093,426,426,-0.819314731203033
2237,2237,2237,8711.0,8714.0,0.01109539871310467,-0.0008747092955528671,426,426,-0.7168718773586553
5645,5645,5645,18935.0,18938.0,0.01107838691350801,-0.00038637112506340754,426,426,-0.6389751997680705
1220,1220,1220,5660.0,5663.0,0.011075560079830566,0.0013644714383656384,426,426,-0.7850670769095612
3579,3579,3579,12737.0,12740.0,0.01103527237343977,0.0018157391241477915,426,426,-0.8169786098539592
490,490,490,3470.0,3473.0,0.010891256592876436,-0.0011337032599507833,426,426,-0.2490457692380535
17,17,17,2051.0,2054.0,0.010876910359010268,0.0004568277224288642,426,426,0.7119119521433807
899,899,899,4697.0,4700.0,0.010876154246906486,0.00031274836015198355,426,426,0.6072001536703344
5799,5799,5799,19397.0,19400.0,0.010767291642582924,-0.0006285453110268912,426,426,-0.6135504171405807
687,687,687,4061.0,4064.0,0.01073870834100971,-3.504168599350576e-05,426,426,0.5843003246091787
724,724,724,4172.0,4175.0,0.010723167737614779,-0.0002304918320890049,426,426,0.5114386997006145
2426,2426,2426,9278.0,9281.0,0.010716665448757616,0.00022773984260291498,426,426,-0.5461087450450048
2186,2186,2186,8558.0,8561.0,0.010676627971679481,0.0002690444443721231,426,426,0.5128991887680956
658,658,658,3974.0,3977.0,0.010647763635525566,0.0003237912684959173,426,426,0.8368525521499295
1605,1605,1605,6815.0,6818.0,0.01062206337673938,0.0023429526812860247,426,426,-0.5776748048561378
3502,3502,3502,12506.0,12509.0,0.010599205433810063,0.00026573656590711737,426,426,-0.5759443179337336
2675,2675,2675,10025.0,10028.0,0.010570108718233544,-0.0005866975607882261,426,426,0.7128399713614376
2518,2518,2518,9554.0,9557.0,0.010558600244060122,-0.0011217480948792792,426,426,-0.48779368498696746
5725,5725,5725,19175.0,19178.0,0.010524877303216768,0.0008630621482202932,426,426,0.6310414385229864
2106,2106,2106,8318.0,8321.0,0.010469497613016271,-0.0001942151436728412,426,426,-0.6007080943293798
3637,3637,3637,12911.0,12914.0,0.010410495304175779,-0.00018127146578732957,426,426,-0.6703097152701365
3731,3731,3731,13193.0,13196.0,0.010407752937708657,0.001182637848204203,426,426,-0.5457903081241219
392,392,392,3176.0,3179.0,0.010407217001961493,-0.0015892976568796177,426,426,0.24395483799615436
3249,3249,3249,11747.0,11750.0,0.010384518751209366,-0.0005998727716773545,426,426,0.5765356082771126
1108,1108,1108,5324.0,5327.0,0.010358414793486287,-6.929523407948405e-05,426,426,0.6840843977688469
3485,3485,3485,12455.0,12458.0,0.010338456702212881,0.00037334324361696855,426,426,-0.388893508933438
3516,3516,3516,12548.0,12551.0,0.010337230942358246,0.0010399285071077005,426,426,-0.5015384113896527
