side,cut,n_covered,coverage,achieved
susceptible,0.08205061135748483,82,0.19248826291079812,0.9512195121951219
susceptible,0.08242064950337315,83,0.19483568075117372,0.9518072289156626
susceptible,0.08273840070610161,84,0.19718309859154928,0.9523809523809523
susceptible,0.08361396039097309,85,0.19953051643192488,0.9529411764705882
susceptible,0.08460238870558996,86,0.20187793427230047,0.9534883720930233
susceptible,0.08470078632578731,87,0.20422535211267606,0.9540229885057471
susceptible,0.08520998440086414,88,0.20657276995305165,0.9545454545454546
susceptible,0.08540173638066095,89,0.20892018779342722,0.9550561797752809
susceptible,0.08544926983739015,90,0.2112676056338028,0.9555555555555556
susceptible,0.08601699853533909,91,0.2136150234741784,0.9560439560439561
susceptible,0.08853505361365491,92,0.215962441314554,0.9565217391304348
susceptible,0.0894329980720728,93,0.21830985915492956,0.956989247311828
susceptible,0.08996890823994459,94,0.22065727699530516,0.9574468085106383
susceptible,0.09027137361181457,95,0.22300469483568075,0.9578947368421052
susceptible,0.09037198085767868,96,0.22535211267605634,0.9583333333333334
susceptible,0.09058232930287365,97,0.22769953051643194,0.9587628865979382
susceptible,0.09134744252443161,98,0.2300469483568075,0.9591836734693877
susceptible,0.0928978081229695,99,0.2323943661971831,0.9595959595959596
susceptible,0.09316829277029205,100,0.2347417840375587,0.95
susceptible,0.09517378270657378,101,0.23708920187793428,0.9504950495049505
susceptible,0.09707767789261869,102,0.23943661971830985,0.9509803921568627
susceptible,0.09739361551026646,103,0.24178403755868544,0.9514563106796117
susceptible,0.09762199383573496,104,0.24413145539906103,0.9519230769230769
susceptible,0.09772373424051688,105,0.24647887323943662,0.9523809523809523
susceptible,0.09843013363281503,106,0.24882629107981222,0.9528301886792453
susceptible,0.09946274360651931,107,0.2511737089201878,0.9532710280373832
susceptible,0.10139988538786547,108,0.2535211267605634,0.9537037037037037
susceptible,0.10190001888455422,109,0.25586854460093894,0.9541284403669725
susceptible,0.10255963637363619,110,0.25821596244131456,0.9545454545454546
susceptible,0.10295630731070787,111,0.2605633802816901,0.9459459459459459
susceptible,0.10299153585393717,112,0.26291079812206575,0.9375
susceptible,0.10410477403128862,113,0.2652582159624413,0.9380530973451328
susceptible,0.10415898536263929,114,0.2676056338028169,0.9385964912280702
susceptible,0.10487438485310326,115,0.2699530516431925,0.9391304347826087
susceptible,0.10562670908751155,116,0.27230046948356806,0.9396551724137931
susceptible,0.10570946802053126,117,0.2746478873239437,0.9401709401709402
susceptible,0.10638332728481215,118,0.27699530516431925,0.940677966101695
susceptible,0.10802885480895358,119,0.2793427230046948,0.9411764705882353
susceptible,0.10832206946655096,120,0.28169014084507044,0.9416666666666667
susceptible,0.10879230153990392,121,0.284037558685446,0.9421487603305785
susceptible,0.10892754449047887,122,0.2863849765258216,0.9426229508196722
susceptible,0.10921744718414415,123,0.2887323943661972,0.943089430894309
susceptible,0.10974572563538862,124,0.29107981220657275,0.9435483870967742
susceptible,0.11028427360166812,125,0.2934272300469484,0.944
susceptible,0.1107353847737839,126,0.29577464788732394,0.9444444444444444
susceptible,0.11116655821680727,127,0.2981220657276995,0.9448818897637795
susceptible,0.11154679637597821,128,0.3004694835680751,0.9453125
susceptible,0.11190431398040594,129,0.3028169014084507,0.9457364341085271
susceptible,0.11223445700168125,130,0.3051643192488263,0.9461538461538461
susceptible,0.11379188090101046,131,0.3075117370892019,0.9465648854961832
susceptible,0.11505489627935231,132,0.30985915492957744,0.946969696969697
susceptible,0.11506092076431668,133,0.31220657276995306,0.9398496240601504
susceptible,0.11761678957951212,134,0.3145539906103286,0.9402985074626866
susceptible,0.12087661714674883,135,0.31690140845070425,0.9407407407407408
susceptible,0.12105334412170712,136,0.3192488262910798,0.9411764705882353
susceptible,0.12231060396286261,137,0.3215962441314554,0.9416058394160584
susceptible,0.12327051350356209,138,0.323943661971831,0.9420289855072463
susceptible,0.12374838111524739,139,0.32629107981220656,0.9424460431654677
susceptible,0.12684776447148793,140,0.3286384976525822,0.9357142857142857
susceptible,0.12690877603078368,141,0.33098591549295775,0.9361702127659575
